segment,segment_day,V,curr_D,P,temp,H,Tmean,wave_D,VM,DM,VG,sea_temp
15,32,575.75,111.25,1020.3792,19.0917,95.9583,46.2083,61.9583,74,40.0417,94.0417,24.2958
15,33,447.7917,118.7917,1020.1042,20.1083,104.9583,46.25,42.7083,82.2083,26.9583,104.0417,24.3667
15,34,649.4583,190.5833,1019.3583,19.625,204.9583,55.9583,39.8333,115.1667,21.4167,143.625,24.375
15,35,684.0417,243.125,1018.7708,19.1208,213.8333,56.75,30.9583,113.6667,20.9583,141.2083,24.2208
15,36,641.3333,205.9583,1017.0125,19.3458,188.9167,53.8333,30,113.5,21.9583,142.2083,24.2417
15,37,658.5417,196.625,1016.3375,19.6417,207.1667,56.0417,42.7083,117.25,25.75,146.4583,24.1083
15,38,634.2083,204.0833,1016.95,19.7792,180.6667,53.5417,51.5833,109,20.9167,135.6667,24.2417
15,39,681.2917,152.8333,1014.1833,19.8875,157.3333,52.125,67.0833,103.0417,28.4583,129.2083,24.5
15,40,499.875,119.9583,1012.3375,20.6958,102.8333,58.4167,142.0417,41.9167,105.2083,57.0833,24.7417
15,41,591.2917,164.5417,1013.5333,20.2583,122.5833,49.4583,79.75,88.75,47.75,112.2083,24.3833
15,42,634.875,193.9167,1016.0348,20.0625,163.8333,52.9167,53.375,99.8333,22.25,125.25,24.3708
15,43,559.5,175.7917,1016.475,20.1458,139.8333,51.2917,42.2083,84.9583,21.125,107.0417,24.65
15,44,458.2917,129.625,1016.4167,20.0875,127.8182,49.6818,43.0455,82.4167,23.5417,106.1667,24.6792
15,45,495.7083,209.0417,1015.6417,19.8917,201.5417,55,40.7083,107.625,24.625,137.3333,24.4792
15,46,489.3333,226.7917,1012.4458,19.075,202.5833,55.5,28.5833,109.5833,22.7917,137.125,24.325
15,47,603,196.0417,1015.2583,17.3667,235.8333,58.1667,56.25,125.875,21.4583,161.4167,24.1542
15,48,725.4583,176,1018.7208,17.6,226.7917,58.5417,47.9583,120.2083,26.125,153.1667,23.7667
15,49,787.375,163.2917,1018.5125,18.5917,157.5833,53.4167,37.1667,99.1667,26.25,124.875,23.5958
15,50,747.4167,185.875,1018.85,18.2083,185.2917,55.0833,65.625,109.9167,24.0833,136.5833,23.2625
15,51,768.4348,214.5833,1017.4042,17.9667,164.0417,52.7917,84.2917,104,23.8333,128.75,23.2833
15,52,700.9167,195.2917,1018.9833,17.1792,218.2917,55.9167,54.375,124.3333,21.9583,157.0833,23.0417
15,53,658.9167,176.7917,1022.8458,16.5375,242.8333,58.9583,41.6667,128.5417,21.8333,164.5833,22.4542
15,54,620.75,183.4167,1021.9583,16.8083,212.125,55.0833,67.5,122.375,24.875,152.9167,21.9458
15,55,559.1667,182.2917,1017.5667,17.3292,146.0435,54.6087,86.6957,82.9167,92.9167,106.1667,21.8208
15,56,658.375,155.0417,1018.4375,17.4208,201.25,52.4583,51.625,121.4167,24.875,152.625,21.7167
15,57,509.1667,247.25,1019.1292,17.6708,151,50.2609,39.1739,93.2917,16.4167,113.8333,22.2833
15,58,419.2917,197.8333,1018.0625,17.8083,148.1667,48.625,21.0833,94.0833,21.4167,116.8333,22.0958
15,59,363.5833,155.1667,1017.5,17.5667,119.0435,47.1739,36.7391,82.5,17.375,104.8333,21.9125
15,60,429.8333,153.8333,1015.8417,18.1167,146.875,48.875,28.0833,93.6667,22,119,23.2083
15,61,463.125,265.4167,1013.9792,18.3667,176.75,52.9167,30.875,95.875,22.0417,120.625,23.55
15,62,606.75,275.2083,1016.1167,17.1542,250.9167,57.375,43.0833,127.375,24.1667,160.2917,23.4833
15,63,588.5,220.9583,1017.6792,16.6667,190.0435,52.8696,23,112.3333,17.9167,140.0417,22.8333
15,64,641.125,213.3333,1016.4625,17.3333,170.875,51.0833,47.875,110.4583,25.9167,137.375,22.55
15,65,667.8333,235.9583,1014.7792,17.5208,182.7917,53.5,48.7917,114.625,24.4583,142.75,22.725
15,66,675.1667,232.2917,1014.7542,16.8625,201.875,54.4167,37,118.1667,22.8333,148.0417,22.7708
15,67,727.5833,197.75,1016.6458,16.1667,235.0833,57.2083,55.25,132.7083,25.5,167.8333,22.325
15,68,677.2083,265.7917,1019.0333,12.975,403.25,67.3333,49.2917,173.5,24.0833,225.9583,20.9167
15,69,680.75,245.5833,1020.5292,13.8042,243.875,57.25,65.2917,132.0833,21,166.0417,18.05
15,70,706.9583,257.5,1020.1,14.6917,210.4167,56.7917,64.75,116.9583,18.7917,151.7083,16.0087
15,71,751.125,262.6667,1021.2583,14.2917,276.9167,59.3333,54,145.0833,19.0833,188.875,19.6958
15,72,552.7083,262.125,1023.5167,14.2292,264.3043,60.5217,29.8696,122.75,18.7917,157.0417,17.5833
15,73,544.0833,202.8333,1023.3167,14.3208,159,54.2083,62.375,85.625,30.7083,109.1667,15.0542
15,74,510.8333,140.7083,1020.9417,15.8542,99.1304,48.2609,62.1304,72.9167,28.0833,91.875,19.7056
15,75,153.35,194.25,1019.2542,19.0833,94.4545,47.7727,164.7727,73.9167,45.4167,92.2917,23.525
15,76,44.625,226.4583,1018.6375,19.975,59.6667,51.4583,159.5,45.875,86.3333,58.8333,23.4909
15,77,43.2381,185.1429,1016.9391,20.6913,58.9545,55.6364,114.6364,21.3913,148.8571,31.9524,22.0696
15,78,327.5217,185.0435,1017.9542,19.8375,74.913,54.6087,154.6957,66.5833,35.2083,83.4167,22.65
15,79,209.0417,202.25,1016.9208,19.7583,93.0435,55.1739,174.6522,66,17.75,83.375,23.775
15,80,193.5,150.875,1014.5333,21.0958,47.9583,50.0417,150.1667,27.5417,167,37.625,24.2292
15,81,321.625,217.625,1013.5042,20.7208,56.6667,46.1667,159.8333,59,71.4167,73.6667,23.2583
15,82,319.05,144.25,1014.9583,19.9042,130.4348,51.2609,51.0435,88.9583,18.0833,111.125,23.7417
15,83,463.2222,206,1015.6292,17.9458,168.75,53.375,47.3333,107.4583,34.9583,136.875,23.8625
15,84,355.8,211.55,1016.4833,17.3833,199.5417,56.7083,52.9167,103.9583,17.9167,132.7083,23.9208
15,85,133.3182,159.5909,1017.1667,19.1292,85,46.0833,37.125,65.3333,26.5,83.0833,23.9875
15,86,102.4167,113.875,1016.0958,19.7667,70.1667,46.125,81.6667,55.0833,102.7083,70.625,23.95
15,87,91.2083,124.375,1014.2167,21.5542,65.5417,46.125,104.9583,50.25,26.1667,63.5,24.0417
15,88,106.625,150.375,1013.8083,20.9667,78.5833,52.5,151.4583,37.3333,35.7143,55.1905,23.3333
15,89,166.625,119.75,1012.5667,22.1125,75.3333,58.6667,153.3333,24.1667,126.7727,37,24.2625
15,90,124.6667,104.9167,1012.1917,23.2042,66.4167,51.4583,154.25,29.3333,56.15,46.9,25.0583
15,91,191,89.3478,1010.8417,22.5292,75.25,47.5417,81.0833,57.7917,26.2083,73.25,25.1417
15,92,186.2381,115.2857,1011.8542,21.6708,66.25,50.7917,66.5417,32.5833,205.5,52.7,25.3625
15,93,272.7273,106.7727,1009.4042,22.7042,54.875,49.2083,151,26.25,176,42.3,25.175
15,94,289.9524,113.381,1007.9583,22.7417,47.6667,45.8333,112.0417,43.4583,167.05,65.9,24.9792
15,95,175.7391,116.8261,1010.0208,22.0083,74.375,48.875,51.125,53.5833,21.25,68.75,24.9333
15,96,149.25,131.5417,1012.8083,21.9875,90.5652,49.6522,55.3478,61.375,23.5,76.8333,25.0083
15,97,122.875,105.9167,1013.6833,22.6458,74.375,48.4167,105.5,41,41.6667,52.75,25.0083
15,98,228.0417,113,1013.3,22.5167,125.875,50.9583,70.4583,66.7083,55.875,84.2917,25.1542
15,99,329.9565,201.087,1013.5542,19.8917,180.25,55.8333,40.3333,102.625,23.7083,128.25,24.4167
15,100,208.125,171.3333,1014.6958,20.2375,122.4167,51.6667,49.3333,77.5833,28.4583,97.125,24.5958
15,101,211.3333,91.9524,1011.7875,23.4125,110.2174,50.6522,118.3478,53.875,134.5,71.4167,24.8625
15,102,236.625,72.5417,1012.1542,25.3292,57.6957,43.3478,155.1304,43.875,180.6667,54.9583,26.0958
