SeaTemp_mean,SeaTemp_min,SeaTemp_max,Temperature_mean,Temperature_min,Temperature_max,SeaPres_mean,WS_mean,WD_mean,class,segment,segment_day
15.69125,15.6,15.83,13.40416667,12.5,14.6,1017.7625,5.245833333,28.33333333,1,2,50
15.59166667,15.4,15.73,13.1625,12.2,14.5,1019.220833,5.691666667,12.08333333,1,2,51
15.49666667,15.34,15.61,13.97916667,13,16,1019.245833,6.041666667,30.83333333,1,2,52
15.52912037,15.4,15.6,14.42083333,13,16,1019.05,5.2,32.08333333,1,2,53
15.68541667,15.6,16,16.5625,14.9,18.9,1017.8375,3.279166667,46.25,1,2,54
16.08,16,16.2,17.85416667,16.3,21,1016.620833,2.854166667,74.58333333,1,2,55
16.56125,16.4,16.7,17.98333333,16.6,20.7,1017.220833,4.1625,87.91666667,1,2,56
16.93185185,16.54444444,17.1,16.42916667,15.6,17.5,1018.1,4.858333333,44.58333333,1,2,57
17.15708333,16.61,17.2,17.84166667,16,20.5,1016.7875,1.833333333,136.25,1,2,58
17.42458333,17,17.68,20.27916667,16.8,26.1,1015.045833,2.370833333,122.5,1,2,59
18.38569444,18.1,18.7,18.35416667,16.8,21.2,1019.833333,6.591666667,20.41666667,1,3,1
18.39208333,18.3,18.6,18.79583333,17.7,20.8,1019.075,5.0125,12.91666667,1,3,2
18.62875,18.5,18.9,19.70833333,18.2,22.6,1018.775,2.9375,128.75,1,3,3
18.86375,18.7,18.9,18.18333333,17.6,18.9,1017.633333,4.129166667,33.33333333,1,3,4
18.91291667,18.9,19,18.44166667,17.7,19.6,1015.958333,4.925,21.66666667,1,3,5
18.94208333,18.88,19,17.65833333,16.7,18.2,1015.825,5.6,19.58333333,1,3,6
18.95125,18.8,19.19,19.03333333,17.6,20.9,1014.525,3.641666667,52.91666667,1,3,7
19.28220238,19.1,19.4,20.05833333,17.9,23.7,1013.608333,3.025,135,1,3,8
19.2575,18.9,19.5,14.37083333,12.9,16.7,1020.75,6.2375,20,1,3,9
18.42,18.2,18.92,14.53333333,13.6,16.5,1023.870833,6.179166667,20.83333333,1,3,10
17.75791667,17.5,18.4,14.3875,13.1,16.2,1024.983333,7.033333333,18.75,1,3,11
16.94208333,16.6,17.79,13.55833333,12.6,15.5,1026.345833,7.554166667,20,1,3,12
16.28708333,16,17,14.87916667,12.7,17.1,1025.454167,6.395833333,21.25,1,3,13
16.14166667,15.9,16.4,16.46666667,14.9,18.8,1022.1125,4.104166667,18.75,1,3,14
16.35972222,16.2,16.6,17.74583333,15.8,20.7,1018.35,4.183333333,17.91666667,1,3,15
16.70708333,16.5,17,19.19583333,16.7,21.4,1014.470833,2.833333333,59.16666667,1,3,16
17.32010188,16.9,17.665619,20.69583333,19.7,22.9,1013.920833,3.904166667,64.58333333,1,3,17
17.93541667,17.43,18.2,19.63333333,19.2,20.7,1016.204167,5.35,20,0,3,18
18.27729167,17.91,18.54,19.61666667,18.8,21.5,1017.291667,5.75,20,1,3,19
18.62708333,18.3,18.88,19.5625,18.8,21.2,1016.195833,5.475,19.58333333,1,3,20
18.88625,18.6,19.14,19.775,18.4,22.6,1014.754167,4.708333333,15.83333333,1,3,21
19.15791667,18.9,19.37,19.70833333,17.9,24,1013.441667,4.858333333,33.75,1,3,22
19.31958333,19.2,19.4,18.72083333,17.6,20.5,1015.145833,5.891666667,16.66666667,1,3,23
19.24458333,19.2,19.3,18.95416667,18,20.7,1015.4625,6.466666667,17.91666667,1,3,24
19.17166667,19.1,19.28,18.34583333,17.7,20,1015.841667,6.25,17.91666667,1,3,25
19.10583333,19,19.2,17.02916667,16.3,18.1,1017.1125,7.575,17.91666667,1,3,26
